id,country,state,city,station,last_update,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,pollutant_unit
1,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2020 02:00:00",PM2.5,NA,NA,NA,NA
2,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2020 02:00:00",PM10,NA,NA,NA,NA
3,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2020 02:00:00",NO2,NA,NA,NA,NA
4,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2020 02:00:00",NH3,NA,NA,NA,NA
5,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2020 02:00:00",SO2,NA,NA,NA,NA
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2020 02:00:00",CO,NA,NA,NA,NA
7,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","30-03-2020 02:00:00",OZONE,NA,NA,NA,NA
8,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2020 02:00:00",PM2.5,22,90,44,NA
9,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2020 02:00:00",PM10,37,119,59,NA
10,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2020 02:00:00",NO2,6,16,10,NA
11,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2020 02:00:00",NH3,1,3,2,NA
12,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2020 02:00:00",SO2,6,16,10,NA
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2020 02:00:00",CO,8,40,19,NA
14,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","30-03-2020 02:00:00",OZONE,29,80,45,NA
15,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","30-03-2020 02:00:00",PM2.5,3,44,20,NA
16,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","30-03-2020 02:00:00",PM10,16,50,29,NA
17,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB","30-03-2020 02:00:00",NO2,4,8,5,NA
